ID_REF	SAMPLE 1	SAMPLE 2	SAMPLE 3	SAMPLE 4	SAMPLE 5	SAMPLE 6	SAMPLE 7	SAMPLE 8	SAMPLE 9	SAMPLE 10	SAMPLE 11	SAMPLE 12	SAMPLE 13	SAMPLE 14	SAMPLE 15	SAMPLE 16	SAMPLE 17	SAMPLE 18	SAMPLE 19	SAMPLE 20
hsa-miR-485-5p	-6.4029207	-6.3314667	-2.8745475	-2.882865	-4.6480126	-4.724009	-3.4444923	-3.4762373	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-486-3p	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-12.138256	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-486-5p	-1.7049465	-1.6689539	-2.4966097	-2.5046706	-2.024786	-1.9282703	-2.216361	-2.3016162	-1.8895664	-1.94979	-1.9666152	-1.9122422	0	0	0	0	4.858488	5.8077307	4.8163743	5.078217
hsa-miR-487a	-3.896284	-3.9186282	-1.5009518	-1.5589776	-3.146545	-3.1746373	-2.0969362	-2.0040355	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-487b	-0.6256561	-0.57035446	1.8028755	1.7382364	0.17080784	0.11824131	1.224329	1.2676067	-3.0673656	-2.9681518	-2.9890158	-2.9547873	0	0	0	0	0	0	0	0
hsa-miR-488-3p	-3.8041153	-3.7398949	-0.09358406	-0.2576437	-2.2522802	-2.3353572	-0.77493525	-0.7564211	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-488-5p	-12.033434	-12.015991	-3.3795094	-3.4423676	-6.0402994	-6.160514	-4.0438547	-4.0476074	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-489	-12.033434	-12.015991	-11.544527	-11.474705	-12.161522	-6.71068	-11.68643	-11.845669	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-490-3p	-12.033434	-12.015991	-4.1547627	-4.3009815	-6.65796	-6.6011715	-4.7691507	-4.753477	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
hsa-miR-490-5p	-7.2257442	-7.366014	-5.0855856	-5.547989	-7.0026317	-6.7711473	-6.0675893	-6.07821	-9.257398	-8.986686	-9.043121	-9.179144	0	0	0	0	0	0	0	0
